order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,212,Mary Jane,205,Book,Books,Internet Banking,2,279.46,2021-11-20 10:44:52,India,Mumbai,www.ebay.in,27954,Y,
2,255,Joe Smith,201,Pen,Stationery,Internet Banking,1,81.66,2021-11-26 01:24:41,USA,Boston,www.tatacliq.com,02292,Y,
3,457,Neo,205,Book,Books,UPI,3,306.34,2021-04-18 08:32:49,UK,Oxford,www.flipkart.com,18582,Y,
4,356,Mary Jane,203,Mobile,Electronics,UPI,1,412.98,2021-08-28 21:16:48,India,Mumbai,www.amazon.com,08782,Y,
5,136,Joe Smith,202,Pencil,Stationery,UPI,3,170.6,2021-02-07 18:23:54,India,Bengaluru,www.ebay.in,33693,Y,
6,352,Joe Smith,203,Mobile,Electronics,UPI,4,127.34,2021-09-24 11:40:40,India,Mumbai,www.tatacliq.com,08999,Y,
7,199,John Smith,205,Book,Books,Wallet,5,392.24,2021-11-04 19:26:49,India,Indore,www.amazon.com,21290,Y,
8,315,Trinity,201,Pen,Stationery,UPI,4,205.59,2021-06-26 12:42:29,India,Indore,www.flipkart.com,59729,N,Invalid CVV
9,166,Mary Jane,202,Pencil,Stationery,UPI,1,174.83,2021-05-06 09:20:42,India,Indore,www.amazon.com,82954,Y,
10,392,Neo,201,Pen,Stationery,Internet Banking,5,433.69,2021-09-17 22:52:19,USA,Boston,www.flipkart.com,45036,Y,
11,277,Trinity,203,Mobile,Electronics,UPI,3,383.91,2021-07-26 17:21:44,India,Indore,www.flipkart.com,36578,Y,
12,366,John Smith,202,Pencil,Stationery,Wallet,1,276.91,2021-03-26 01:18:52,India,Indore,www.ebay.in,68195,Y,
13,478,Trinity,204,Laptop,Electronics,UPI,4,310.12,2021-02-23 22:21:32,UK,Oxford,www.ebay.in,13351,Y,
14,404,Neo,203,Mobile,Electronics,Card,2,436.06,2021-03-28 00:20:07,UK,Oxford,www.flipkart.com,04216,Y,
15,327,Neo,205,Book,Books,UPI,5,186.97,2021-02-21 21:33:29,India,Bengaluru,www.ebay.in,53580,Y,
16,291,Trinity,202,Pencil,Stationery,UPI,3,401.83,2021-04-15 22:01:55,UK,Oxford,www.flipkart.com,80721,Y,
17,328,Neo,205,Book,Books,UPI,4,436.62,2021-08-13 00:31:08,India,Bengaluru,www.ebay.in,26205,Y,
18,333,Mary Jane,204,Laptop,Electronics,Card,1,365.69,2021-07-25 22:13:32,USA,Boston,www.ebay.in,42840,Y,
19,443,Joe Smith,201,Pen,Stationery,Card,5,37.57,2021-11-17 04:57:58,India,Indore,www.amazon.com,91020,Y,
20,445,Mary Jane,204,Laptop,Electronics,Wallet,4,168.88,2021-10-14 06:35:21,India,Indore,www.tatacliq.com,75791,Y,
21,156,John Smith,205,Book,Books,Internet Banking,5,409.47,2021-02-08 13:47:27,India,Indore,www.flipkart.com,33749,Y,
22,342,Neo,205,Book,Books,Internet Banking,2,493.82,2021-08-10 00:17:28,India,Indore,www.amazon.com,71094,Y,
23,473,Joe Smith,201,Pen,Stationery,Wallet,1,70.37,2021-11-27 11:43:54,USA,Boston,www.flipkart.com,10487,Y,
24,403,John Smith,205,Book,Books,UPI,1,59.65,2021-10-21 02:13:36,India,Mumbai,www.ebay.in,44572,Y,
25,437,John Smith,202,Pencil,Stationery,Card,5,139.2,2021-08-31 04:15:25,India,Mumbai,www.tatacliq.com,34418,Y,
26,487,Neo,202,Pencil,Stationery,Card,1,17.81,2021-12-19 12:57:46,India,Indore,www.flipkart.com,87811,Y,
27,127,Mary Jane,201,Pen,Stationery,Card,5,306.47,2021-08-24 19:57:36,India,Bengaluru,www.tatacliq.com,91731,Y,
28,398,Joe Smith,203,Mobile,Electronics,Card,4,81.72,2021-01-11 15:00:21,India,Mumbai,www.amazon.com,25152,Y,
29,307,Mary Jane,205,Book,Books,UPI,3,483.58,2021-08-11 06:40:17,UK,Oxford,www.ebay.in,50797,Y,
30,408,Mary Jane,202,Pencil,Stationery,Card,2,222.34,2021-02-27 03:37:40,India,Indore,www.amazon.com,93864,Y,
31,213,John Smith,204,Laptop,Electronics,UPI,1,180.85,2021-12-06 12:51:07,India,Bengaluru,www.tatacliq.com,92395,N,Invalid CVV
32,162,Trinity,201,Pen,Stationery,Internet Banking,2,313.1,2021-08-30 22:28:20,India,Mumbai,www.tatacliq.com,72609,Y,
33,234,Joe Smith,201,Pen,Stationery,Card,4,332.43,2021-06-05 14:27:53,India,Indore,www.flipkart.com,59220,Y,
34,309,John Smith,203,Mobile,Electronics,Card,3,281.68,2021-03-15 14:12:41,USA,Boston,www.flipkart.com,54780,Y,
35,399,Joe Smith,204,Laptop,Electronics,Wallet,4,92.27,2021-11-30 22:14:52,India,Mumbai,www.amazon.com,30307,Y,
36,377,Neo,201,Pen,Stationery,Card,3,389.31,2021-09-21 09:38:58,USA,Boston,www.amazon.com,87764,Y,
37,416,Trinity,205,Book,Books,Card,3,73.95,2021-06-30 18:55:12,India,Indore,www.tatacliq.com,09172,Y,
38,395,Trinity,204,Laptop,Electronics,Internet Banking,1,193.74,2021-11-28 15:45:00,India,Mumbai,www.ebay.in,69068,Y,
39,343,Trinity,203,Mobile,Electronics,Internet Banking,5,105.15,2021-06-30 14:54:26,India,Indore,www.amazon.com,91582,Y,
40,152,Trinity,205,Book,Books,UPI,3,237.62,2021-06-21 18:53:10,India,Bengaluru,www.flipkart.com,37684,Y,
41,161,Trinity,205,Book,Books,UPI,4,430.66,2021-08-12 08:30:58,India,Bengaluru,www.ebay.in,58603,Y,
42,168,John Smith,203,Mobile,Electronics,Wallet,5,289.38,2021-03-29 00:40:08,India,Bengaluru,www.amazon.com,67299,Y,
43,157,Joe Smith,203,Mobile,Electronics,Card,2,28.79,2021-06-16 01:39:05,India,Indore,www.tatacliq.com,31804,Y,
44,135,Neo,201,Pen,Stationery,UPI,5,254.7,2021-05-26 18:33:07,USA,Boston,www.flipkart.com,18062,Y,
45,486,Joe Smith,204,Laptop,Electronics,Internet Banking,4,47.41,2021-04-16 00:10:55,India,Bengaluru,www.tatacliq.com,01906,Y,
46,457,John Smith,205,Book,Books,Internet Banking,4,452.39,2021-05-16 22:04:08,USA,Boston,www.amazon.com,49848,Y,
47,448,Trinity,202,Pencil,Stationery,Wallet,2,225.86,2021-12-09 09:53:50,UK,Oxford,www.ebay.in,27759,Y,
48,208,John Smith,202,Pencil,Stationery,UPI,4,351.42,2021-02-23 06:56:19,India,Mumbai,www.amazon.com,49351,Y,
49,136,Mary Jane,204,Laptop,Electronics,Internet Banking,1,130.86,2021-02-26 13:51:32,USA,Boston,www.ebay.in,69022,Y,
50,233,Neo,204,Laptop,Electronics,Card,5,214.8,2021-10-07 00:04:37,India,Indore,www.ebay.in,05232,Y,
51,439,Neo,205,Book,Books,UPI,3,380.98,2021-02-23 08:40:48,USA,Boston,www.tatacliq.com,32195,Y,
52,177,Trinity,204,Laptop,Electronics,UPI,2,299.46,2021-06-15 20:50:01,India,Mumbai,www.flipkart.com,59525,Y,
53,214,John Smith,202,Pencil,Stationery,Card,1,251.15,2021-07-30 20:07:46,USA,Boston,www.flipkart.com,20738,Y,
54,455,Joe Smith,204,Laptop,Electronics,Wallet,5,17.51,2021-05-16 07:56:02,India,Indore,www.tatacliq.com,53204,Y,
55,209,Trinity,205,Book,Books,UPI,3,105.31,2021-02-08 16:16:47,USA,Boston,www.tatacliq.com,56233,Y,
56,275,Neo,201,Pen,Stationery,Internet Banking,3,80.87,2021-02-23 20:10:38,India,Mumbai,www.flipkart.com,46010,Y,
57,201,John Smith,205,Book,Books,Card,2,438.54,2021-05-17 07:57:40,UK,Oxford,www.amazon.com,31783,Y,
58,270,Mary Jane,202,Pencil,Stationery,Internet Banking,4,171.92,2021-01-22 19:16:12,India,Indore,www.tatacliq.com,07706,Y,
59,257,Neo,201,Pen,Stationery,Wallet,5,41.59,2021-10-11 00:34:37,UK,Oxford,www.amazon.com,02772,Y,
60,279,Joe Smith,201,Pen,Stationery,Card,1,61.3,2021-12-06 15:16:39,India,Mumbai,www.amazon.com,58677,Y,
61,215,John Smith,205,Book,Books,UPI,3,373.0,2021-06-04 13:21:32,USA,Boston,www.ebay.in,51434,Y,
62,370,Neo,205,Book,Books,Wallet,4,284.24,2021-11-14 01:42:53,USA,Boston,www.amazon.com,35284,Y,
63,269,John Smith,201,Pen,Stationery,Wallet,2,13.29,2021-12-12 19:58:03,India,Bengaluru,www.amazon.com,85302,Y,
64,435,Neo,205,Book,Books,Internet Banking,2,309.6,2021-08-18 01:20:07,USA,Boston,www.flipkart.com,35333,Y,
65,347,Trinity,205,Book,Books,Card,1,417.73,2021-12-15 21:40:53,India,Indore,www.flipkart.com,38132,Y,
66,329,Neo,201,Pen,Stationery,Card,1,168.42,2021-07-24 09:58:47,India,Mumbai,www.ebay.in,13585,Y,
67,367,Joe Smith,204,Laptop,Electronics,Wallet,4,295.61,2021-06-19 00:32:53,India,Mumbai,www.ebay.in,57321,N,Invalid CVV
68,443,Joe Smith,202,Pencil,Stationery,Wallet,1,317.72,2021-07-31 14:54:23,USA,Boston,www.tatacliq.com,32364,Y,
69,404,Joe Smith,203,Mobile,Electronics,Internet Banking,5,452.95,2021-11-15 04:28:29,USA,Boston,www.ebay.in,79077,Y,
70,178,Joe Smith,202,Pencil,Stationery,Card,4,454.08,2021-02-09 17:09:28,UK,Oxford,www.tatacliq.com,48857,Y,
