customer_id,customer_name,country,city
1,Alice Johnson,USA,Phoenix
2,Bob Smith,USA,Los Angeles
3,Catherine Lee,Canada,Toronto
4,Daniel Brown,Australia,Melbourne
5,Eva Garcia,Germany,Cologne
6,Frank Wilson,Canada,Calgary
7,Grace Thompson,Germany,Frankfurt
8,Harry Martinez,Canada,Vancouver
9,Ivy Clark,Australia,Melbourne
10,Jack Lewis,Australia,Perth
11,Karen Young,Germany,Frankfurt
12,Liam Walker,Australia,Adelaide
13,Mona Hall,Germany,Berlin
14,Nathan King,Canada,Calgary
15,Olivia Scott,Canada,Calgary
16,Peter Adams,Australia,Perth
17,Quinn Baker,Australia,Perth
18,Rachel Evans,Germany,Munich
19,Sam Phillips,Canada,Montreal
20,Tina Rodriguez,USA,Chicago
