order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,19,Sam Phillips,8,Modular Bookcase,Home Office Furniture,Card,1,199.99,2020-01-24T11:23:59.000-06:00,Canada,Montreal,StyleNestFurniture.com,5141,N,Network Error
2,1,Alice Johnson,4,Recliner Chair,Living Room Furniture,Card,4,249.99,2020-01-24T11:23:59.000-06:00,USA,Phoenix,HomeHavenFurniture.com,6257,Y,SUCCESS
3,1,Alice Johnson,5,Oak Dining Table,Dining Room Furniture,UPI,4,399.99,2020-01-24T11:23:59.000-06:00,USA,Phoenix,HomeHavenFurniture.com,5503,Y,SUCCESS
4,5,Eva Garcia,16,Garden Lounge Chair,Outdoor Furniture,UPI,3,79.99,2020-01-24T11:23:59.000-06:00,Germany,Cologne,ChicSpaceFurnishings.com,3158,Y,SUCCESS
5,18,Rachel Evans,2,Memory Foam Mattress,Bedroom Furniture,Card,5,199.99,2020-01-24T11:23:59.000-06:00,Germany,Munich,CozyCornerDecor.com,9318,N,Network Error
6,6,Frank Wilson,18,Nursery Rocking Chair,Kids Furniture,Wallet,1,119.99,2020-01-24T11:23:59.000-06:00,Canada,Calgary,ChicSpaceFurnishings.com,1684,N,Insufficient Funds
7,17,Quinn Baker,11,Vanity Dresser,Bedroom Furniture,Wallet,2,189.99,2020-01-24T11:23:59.000-06:00,Australia,Perth,TimelessHomeStyles.com,9884,N,Insufficient Funds
8,4,Daniel Brown,8,Modular Bookcase,Home Office Furniture,UPI,3,199.99,2020-01-24T11:23:59.000-06:00,Australia,Melbourne,TimelessHomeStyles.com,7745,N,Network Error
9,18,Rachel Evans,4,Recliner Chair,Living Room Furniture,Card,5,249.99,2020-01-24T11:23:59.000-06:00,Germany,Munich,TimelessHomeStyles.com,9896,N,Insufficient Funds
10,15,Olivia Scott,15,Outdoor Patio Set,Outdoor Furniture,Wallet,4,299.99,2020-01-24T11:23:59.000-06:00,Canada,Calgary,CozyCornerDecor.com,9312,Y,SUCCESS
11,11,Karen Young,8,Modular Bookcase,Home Office Furniture,Internet Banking,4,199.99,2020-01-24T11:23:59.000-06:00,Germany,Frankfurt,ChicSpaceFurnishings.com,5714,Y,SUCCESS
12,9,Ivy Clark,11,Vanity Dresser,Bedroom Furniture,Wallet,5,189.99,2020-01-24T11:23:59.000-06:00,Australia,Melbourne,TimelessHomeStyles.com,9709,Y,SUCCESS
13,16,Peter Adams,4,Recliner Chair,Living Room Furniture,Wallet,1,249.99,2020-01-24T11:23:59.000-06:00,Australia,Perth,CozyCornerDecor.com,7424,Y,SUCCESS
14,20,Tina Rodriguez,15,Outdoor Patio Set,Outdoor Furniture,Internet Banking,20,299.99,2020-01-24T11:23:59.000-06:00,USA,Chicago,ChicSpaceFurnishings.com,2982,N,Network Error
15,3,Catherine Lee,12,Upholstered Bench,Entryway Furniture,Card,5,99.99,2020-01-24T11:23:59.000-06:00,Canada,Toronto,HomeHavenFurniture.com,5097,Y,SUCCESS
16,13,Mona Hall,11,Vanity Dresser,Bedroom Furniture,Wallet,30,189.99,2020-01-24T11:23:59.000-06:00,Germany,Berlin,TimelessHomeStyles.com,2236,N,Network Error
17,17,Quinn Baker,9,Ergonomic Office Chair,Home Office Furniture,UPI,4,129.99,2020-01-24T11:23:59.000-06:00,Australia,Perth,HomeHavenFurniture.com,6899,Y,SUCCESS
18,10,Jack Lewis,13,Glass Console Table,Entryway Furniture,UPI,3,129.99,2020-01-24T11:23:59.000-06:00,Australia,Perth,CozyCornerDecor.com,9216,N,Network Error
19,5,Eva Garcia,3,L-Shaped Sofa,Living Room Furniture,Internet Banking,2,499.99,2020-01-24T11:23:59.000-06:00,Germany,Cologne,ChicSpaceFurnishings.com,8279,N,Network Error
20,1,Alice Johnson,14,TV Stand,Living Room Furniture,Card,5,89.99,2020-01-24T11:23:59.000-06:00,USA,Phoenix,StyleNestFurniture.com,2687,N,Network Error
21,2,Bob Smith,9,Ergonomic Office Chair,Home Office Furniture,Card,6,129.99,2020-01-24T11:23:59.000-06:00,USA,Los Angeles,ChicSpaceFurnishings.com,1334,Y,SUCCESS
22,17,Quinn Baker,13,Glass Console Table,Entryway Furniture,Wallet,3,129.99,2020-01-24T11:23:59.000-06:00,Australia,Perth,ChicSpaceFurnishings.com,9169,N,Network Error
23,10,Jack Lewis,10,Metal Bed Frame,Bedroom Furniture,Wallet,3,149.99,2020-01-24T11:23:59.000-06:00,Australia,Perth,CozyCornerDecor.com,6701,Y,SUCCESS
24,20,Tina Rodriguez,14,TV Stand,Living Room Furniture,Card,28,89.99,2020-01-24T11:23:59.000-06:00,USA,Chicago,TimelessHomeStyles.com,4111,N,Network Error
25,12,Liam Walker,5,Oak Dining Table,Dining Room Furniture,Wallet,2,399.99,2020-01-24T11:23:59.000-06:00,Australia,Adelaide,StyleNestFurniture.com,6709,Y,SUCCESS
26,8,Harry Martinez,4,Recliner Chair,Living Room Furniture,Card,16,249.99,2020-01-24T11:23:59.000-06:00,Canada,Vancouver,CozyCornerDecor.com,6822,N,Insufficient Funds
27,16,Peter Adams,7,Wooden Coffee Table,Living Room Furniture,UPI,3,149.99,2020-01-24T11:23:59.000-06:00,Australia,Perth,StyleNestFurniture.com,1741,N,Network Error
28,17,Quinn Baker,8,Modular Bookcase,Home Office Furniture,Card,5,199.99,2020-01-24T11:23:59.000-06:00,Australia,Perth,TimelessHomeStyles.com,6239,Y,SUCCESS
29,17,Quinn Baker,10,Metal Bed Frame,Bedroom Furniture,Wallet,4,149.99,2020-01-24T11:23:59.000-06:00,Australia,Perth,ChicSpaceFurnishings.com,4602,Y,SUCCESS
30,5,Eva Garcia,9,Ergonomic Office Chair,Home Office Furniture,Internet Banking,3,129.99,2020-01-24T11:23:59.000-06:00,Germany,Cologne,StyleNestFurniture.com,5256,N,Insufficient Funds
31,11,Karen Young,11,Vanity Dresser,Bedroom Furniture,Card,1,189.99,2020-01-24T11:23:59.000-06:00,Germany,Frankfurt,ChicSpaceFurnishings.com,7135,N,Network Error
32,17,Quinn Baker,20,Standing Desk,Home Office Furniture,Card,2,249.99,2020-01-24T11:23:59.000-06:00,Australia,Perth,CozyCornerDecor.com,2259,N,Network Error
33,7,Grace Thompson,10,Metal Bed Frame,Bedroom Furniture,UPI,2,149.99,2020-01-24T11:23:59.000-06:00,Germany,Frankfurt,StyleNestFurniture.com,4752,N,Insufficient Funds
34,6,Frank Wilson,14,TV Stand,Living Room Furniture,Internet Banking,3,89.99,2020-01-24T11:23:59.000-06:00,Canada,Calgary,HomeHavenFurniture.com,9487,N,Insufficient Funds
35,1,Alice Johnson,5,Oak Dining Table,Dining Room Furniture,UPI,1,399.99,2020-01-24T11:23:59.000-06:00,USA,Phoenix,ChicSpaceFurnishings.com,7448,Y,SUCCESS
