order_id,customer_id,product_id,product_name,product_category,price,datetime,customer_name,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason,qty,payment_type
0,13,17,Kids Bunk Bed,Kids Furniture,249.99,2021-02-14T23:37:06.000-06:00,Mona Hall,Germany,Berlin,StyleNestFurniture.com,CODE000000000000,N,Insufficient Funds,6,Internet Banking
1,18,12,Upholstered Bench,Entryway Furniture,99.99,2021-01-27T23:40:37.000-06:00,Rachel Evans,Germany,Munich,ChicSpaceFurnishings.com,CODE000000000001,Y,SUCCESS,5,Internet Banking
2,2,11,Vanity Dresser,Bedroom Furniture,189.99,2021-12-04T13:58:39.000-06:00,Bob Smith,USA,Los Angeles,ChicSpaceFurnishings.com,CODE000000000002,Y,SUCCESS,6,Internet Banking
3,5,12,Upholstered Bench,Entryway Furniture,99.99,2020-05-22T14:12:09.000-05:00,Eva Garcia,Germany,Cologne,ChicSpaceFurnishings.com,CODE000000000003,N,Network Error,5,Card
4,1,9,Ergonomic Office Chair,Home Office Furniture,129.99,2021-08-06T05:27:49.000-05:00,Alice Johnson,USA,Phoenix,HomeHavenFurniture.com,CODE000000000004,Y,SUCCESS,5,Internet Banking
5,9,20,Standing Desk,Home Office Furniture,249.99,2020-01-29T21:30:37.000-06:00,Ivy Clark,Australia,Melbourne,StyleNestFurniture.com,CODE000000000005,Y,SUCCESS,5,Internet Banking
6,1,9,Ergonomic Office Chair,Home Office Furniture,129.99,2020-02-11T06:57:38.000-06:00,Alice Johnson,USA,Phoenix,StyleNestFurniture.com,CODE000000000006,Y,SUCCESS,5,Card
7,8,18,Nursery Rocking Chair,Kids Furniture,119.99,2021-03-26T22:31:25.000-05:00,Harry Martinez,Canada,Vancouver,ChicSpaceFurnishings.com,CODE000000000007,N,Network Error,6,Card
8,10,7,Wooden Coffee Table,Living Room Furniture,149.99,2020-01-26T02:24:19.000-06:00,Jack Lewis,Australia,Perth,HomeHavenFurniture.com,CODE000000000008,Y,SUCCESS,5,Internet Banking
9,6,1,Classic Wooden Bed,Bedroom Furniture,299.99,2020-03-20T07:05:37.000-05:00,Frank Wilson,Canada,Calgary,ChicSpaceFurnishings.com,CODE000000000009,N,Network Error,5,Card
10,5,15,Outdoor Patio Set,Outdoor Furniture,299.99,2021-01-22T17:30:16.000-06:00,Eva Garcia,Germany,Cologne,HomeHavenFurniture.com,CODE000000000010,N,Insufficient Funds,5,Internet Banking
11,4,2,Memory Foam Mattress,Bedroom Furniture,199.99,2020-05-14T05:31:34.000-05:00,Daniel Brown,Australia,Melbourne,StyleNestFurniture.com,CODE000000000011,Y,SUCCESS,5,Internet Banking
12,2,11,Vanity Dresser,Bedroom Furniture,189.99,2021-04-21T00:42:55.000-05:00,Bob Smith,USA,Los Angeles,StyleNestFurniture.com,CODE000000000012,N,Network Error,6,Internet Banking
13,3,8,Modular Bookcase,Home Office Furniture,199.99,2021-06-01T08:38:57.000-05:00,Catherine Lee,Canada,Toronto,StyleNestFurniture.com,CODE000000000013,N,Network Error,5,Internet Banking
14,2,2,Memory Foam Mattress,Bedroom Furniture,199.99,2021-03-06T09:44:01.000-06:00,Bob Smith,USA,Los Angeles,StyleNestFurniture.com,CODE000000000014,N,Network Error,6,Card
15,18,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-10-10T09:45:50.000-05:00,Rachel Evans,Germany,Munich,CozyCornerDecor.com,CODE000000000015,N,Network Error,5,Internet Banking
16,20,12,Upholstered Bench,Entryway Furniture,99.99,2021-10-26T04:59:22.000-05:00,Tina Rodriguez,USA,Chicago,ChicSpaceFurnishings.com,CODE000000000016,N,Insufficient Funds,6,Card
17,19,12,Upholstered Bench,Entryway Furniture,99.99,2021-06-26T17:15:54.000-05:00,Sam Phillips,Canada,Montreal,HomeHavenFurniture.com,CODE000000000017,N,Insufficient Funds,5,Internet Banking
18,9,11,Vanity Dresser,Bedroom Furniture,189.99,2021-05-21T14:51:29.000-05:00,Ivy Clark,Australia,Melbourne,HomeHavenFurniture.com,CODE000000000018,Y,SUCCESS,5,Internet Banking
19,11,17,Kids Bunk Bed,Kids Furniture,249.99,2021-10-04T20:22:50.000-05:00,Karen Young,Germany,Frankfurt,HomeHavenFurniture.com,CODE000000000019,Y,SUCCESS,5,Internet Banking
20,6,9,Ergonomic Office Chair,Home Office Furniture,129.99,2020-08-14T02:08:35.000-05:00,Frank Wilson,Canada,Calgary,HomeHavenFurniture.com,CODE000000000020,N,Network Error,5,Internet Banking
21,19,14,TV Stand,Living Room Furniture,89.99,2021-11-11T17:31:21.000-06:00,Sam Phillips,Canada,Montreal,StyleNestFurniture.com,CODE000000000021,N,Insufficient Funds,5,Card
22,10,8,Modular Bookcase,Home Office Furniture,199.99,2020-03-22T18:46:08.000-05:00,Jack Lewis,Australia,Perth,TimelessHomeStyles.com,CODE000000000022,N,Insufficient Funds,5,Card
23,4,3,L-Shaped Sofa,Living Room Furniture,499.99,2020-03-15T01:59:22.000-05:00,Daniel Brown,Australia,Melbourne,StyleNestFurniture.com,CODE000000000023,Y,SUCCESS,5,Internet Banking
24,17,18,Nursery Rocking Chair,Kids Furniture,119.99,2020-07-22T16:14:42.000-05:00,Quinn Baker,Australia,Perth,StyleNestFurniture.com,CODE000000000024,N,Network Error,5,Internet Banking
25,5,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-05-31T00:15:26.000-05:00,Eva Garcia,Germany,Cologne,TimelessHomeStyles.com,CODE000000000025,N,Network Error,5,Internet Banking
26,17,2,Memory Foam Mattress,Bedroom Furniture,199.99,2020-06-01T11:30:25.000-05:00,Quinn Baker,Australia,Perth,ChicSpaceFurnishings.com,CODE000000000026,Y,SUCCESS,5,Internet Banking
27,19,2,Memory Foam Mattress,Bedroom Furniture,199.99,2021-03-16T20:40:05.000-05:00,Sam Phillips,Canada,Montreal,StyleNestFurniture.com,CODE000000000027,Y,SUCCESS,5,Internet Banking
28,9,15,Outdoor Patio Set,Outdoor Furniture,299.99,2020-07-23T18:17:55.000-05:00,Ivy Clark,Australia,Melbourne,StyleNestFurniture.com,CODE000000000028,N,Insufficient Funds,5,Internet Banking
29,1,7,Wooden Coffee Table,Living Room Furniture,149.99,2020-11-01T07:57:55.000-06:00,Alice Johnson,USA,Phoenix,StyleNestFurniture.com,CODE000000000029,Y,SUCCESS,5,Card
30,13,6,Leather Dining Chair,Dining Room Furniture,89.99,2021-12-17T05:40:30.000-06:00,Mona Hall,Germany,Berlin,CozyCornerDecor.com,CODE000000000030,N,Insufficient Funds,6,Card
31,10,1,Classic Wooden Bed,Bedroom Furniture,299.99,2021-07-26T12:17:51.000-05:00,Jack Lewis,Australia,Perth,HomeHavenFurniture.com,CODE000000000031,N,Network Error,5,Card
32,20,3,L-Shaped Sofa,Living Room Furniture,499.99,2020-04-13T15:45:46.000-05:00,Tina Rodriguez,USA,Chicago,StyleNestFurniture.com,CODE000000000032,N,Network Error,6,Internet Banking
33,1,13,Glass Console Table,Entryway Furniture,129.99,2020-06-24T03:59:43.000-05:00,Alice Johnson,USA,Phoenix,ChicSpaceFurnishings.com,CODE000000000033,Y,SUCCESS,5,Internet Banking
34,2,3,L-Shaped Sofa,Living Room Furniture,499.99,2020-11-17T22:47:35.000-06:00,Bob Smith,USA,Los Angeles,ChicSpaceFurnishings.com,CODE000000000034,N,Network Error,6,Internet Banking
35,14,16,Garden Lounge Chair,Outdoor Furniture,79.99,2021-01-23T18:23:19.000-06:00,Nathan King,Canada,Calgary,CozyCornerDecor.com,CODE000000000035,Y,SUCCESS,5,Card
36,6,1,Classic Wooden Bed,Bedroom Furniture,299.99,2020-12-10T21:08:49.000-06:00,Frank Wilson,Canada,Calgary,StyleNestFurniture.com,CODE000000000036,N,Insufficient Funds,5,Internet Banking
37,2,5,Oak Dining Table,Dining Room Furniture,399.99,2020-11-13T06:51:51.000-06:00,Bob Smith,USA,Los Angeles,StyleNestFurniture.com,CODE000000000037,N,Network Error,6,Internet Banking
38,17,10,Metal Bed Frame,Bedroom Furniture,149.99,2021-05-14T02:05:15.000-05:00,Quinn Baker,Australia,Perth,StyleNestFurniture.com,CODE000000000038,N,Insufficient Funds,5,Internet Banking
39,6,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-11-12T10:22:20.000-06:00,Frank Wilson,Canada,Calgary,CozyCornerDecor.com,CODE000000000039,Y,SUCCESS,5,Internet Banking
40,13,9,Ergonomic Office Chair,Home Office Furniture,129.99,2020-03-20T17:09:41.000-05:00,Mona Hall,Germany,Berlin,StyleNestFurniture.com,CODE000000000040,N,Insufficient Funds,6,Internet Banking
41,17,6,Leather Dining Chair,Dining Room Furniture,89.99,2021-02-23T04:22:42.000-06:00,Quinn Baker,Australia,Perth,StyleNestFurniture.com,CODE000000000041,Y,SUCCESS,5,Internet Banking
42,5,7,Wooden Coffee Table,Living Room Furniture,149.99,2020-11-05T00:25:13.000-06:00,Eva Garcia,Germany,Cologne,ChicSpaceFurnishings.com,CODE000000000042,Y,SUCCESS,5,Internet Banking
43,2,18,Nursery Rocking Chair,Kids Furniture,119.99,2020-07-18T14:04:31.000-05:00,Bob Smith,USA,Los Angeles,HomeHavenFurniture.com,CODE000000000043,Y,SUCCESS,6,Card
44,2,14,TV Stand,Living Room Furniture,89.99,2021-06-05T16:07:30.000-05:00,Bob Smith,USA,Los Angeles,StyleNestFurniture.com,CODE000000000044,Y,SUCCESS,6,Internet Banking
45,9,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-05-30T19:17:14.000-05:00,Ivy Clark,Australia,Melbourne,HomeHavenFurniture.com,CODE000000000045,N,Network Error,5,Internet Banking
46,8,13,Glass Console Table,Entryway Furniture,129.99,2021-08-22T07:33:20.000-05:00,Harry Martinez,Canada,Vancouver,CozyCornerDecor.com,CODE000000000046,Y,SUCCESS,6,UPI
47,6,3,L-Shaped Sofa,Living Room Furniture,499.99,2020-07-11T05:32:39.000-05:00,Frank Wilson,Canada,Calgary,ChicSpaceFurnishings.com,CODE000000000047,N,Network Error,5,Card
48,12,15,Outdoor Patio Set,Outdoor Furniture,299.99,2020-07-08T13:44:22.000-05:00,Liam Walker,Australia,Adelaide,StyleNestFurniture.com,CODE000000000048,Y,SUCCESS,5,Internet Banking
49,6,5,Oak Dining Table,Dining Room Furniture,399.99,2020-09-12T13:00:05.000-05:00,Frank Wilson,Canada,Calgary,ChicSpaceFurnishings.com,CODE000000000049,N,Insufficient Funds,5,Internet Banking
50,20,8,Modular Bookcase,Home Office Furniture,199.99,2021-03-15T11:01:50.000-05:00,Tina Rodriguez,USA,Chicago,StyleNestFurniture.com,CODE000000000050,N,Insufficient Funds,6,Card
51,8,13,Glass Console Table,Entryway Furniture,129.99,2020-04-02T06:02:08.000-05:00,Harry Martinez,Canada,Vancouver,ChicSpaceFurnishings.com,CODE000000000051,N,Insufficient Funds,6,Internet Banking
52,8,1,Classic Wooden Bed,Bedroom Furniture,299.99,2021-06-04T05:05:44.000-05:00,Harry Martinez,Canada,Vancouver,ChicSpaceFurnishings.com,CODE000000000052,N,Insufficient Funds,6,Internet Banking
53,8,13,Glass Console Table,Entryway Furniture,129.99,2021-04-05T00:22:50.000-05:00,Harry Martinez,Canada,Vancouver,HomeHavenFurniture.com,CODE000000000053,Y,SUCCESS,6,Internet Banking
54,16,1,Classic Wooden Bed,Bedroom Furniture,299.99,2020-04-13T07:14:58.000-05:00,Peter Adams,Australia,Perth,StyleNestFurniture.com,CODE000000000054,Y,SUCCESS,5,Internet Banking
55,17,10,Metal Bed Frame,Bedroom Furniture,149.99,2021-04-15T02:11:52.000-05:00,Quinn Baker,Australia,Perth,HomeHavenFurniture.com,CODE000000000055,Y,SUCCESS,5,Card
56,5,9,Ergonomic Office Chair,Home Office Furniture,129.99,2021-08-01T20:33:10.000-05:00,Eva Garcia,Germany,Cologne,StyleNestFurniture.com,CODE000000000056,Y,SUCCESS,5,Internet Banking
57,10,1,Classic Wooden Bed,Bedroom Furniture,299.99,2020-11-20T03:20:58.000-06:00,Jack Lewis,Australia,Perth,HomeHavenFurniture.com,CODE000000000057,Y,SUCCESS,5,Card
58,4,3,L-Shaped Sofa,Living Room Furniture,499.99,2020-10-15T05:49:45.000-05:00,Daniel Brown,Australia,Melbourne,StyleNestFurniture.com,CODE000000000058,Y,SUCCESS,5,Internet Banking
59,16,12,Upholstered Bench,Entryway Furniture,99.99,2021-10-26T15:32:03.000-05:00,Peter Adams,Australia,Perth,ChicSpaceFurnishings.com,CODE000000000059,Y,SUCCESS,5,Internet Banking
60,13,18,Nursery Rocking Chair,Kids Furniture,119.99,2020-12-10T20:39:12.000-06:00,Mona Hall,Germany,Berlin,StyleNestFurniture.com,CODE000000000060,N,Network Error,6,Card
61,17,9,Ergonomic Office Chair,Home Office Furniture,129.99,2021-01-11T12:03:44.000-06:00,Quinn Baker,Australia,Perth,StyleNestFurniture.com,CODE000000000061,Y,SUCCESS,5,Card
62,2,9,Ergonomic Office Chair,Home Office Furniture,129.99,2021-01-08T03:51:25.000-06:00,Bob Smith,USA,Los Angeles,HomeHavenFurniture.com,CODE000000000062,Y,SUCCESS,6,Internet Banking
63,5,4,Recliner Chair,Living Room Furniture,249.99,2020-01-15T00:12:00.000-06:00,Eva Garcia,Germany,Cologne,HomeHavenFurniture.com,CODE000000000063,N,Insufficient Funds,5,Internet Banking
64,10,5,Oak Dining Table,Dining Room Furniture,399.99,2020-12-25T08:50:54.000-06:00,Jack Lewis,Australia,Perth,HomeHavenFurniture.com,CODE000000000064,Y,SUCCESS,5,Internet Banking
65,20,18,Nursery Rocking Chair,Kids Furniture,119.99,2021-11-01T10:44:13.000-05:00,Tina Rodriguez,USA,Chicago,ChicSpaceFurnishings.com,CODE000000000065,N,Network Error,6,Internet Banking
66,18,3,L-Shaped Sofa,Living Room Furniture,499.99,2021-02-03T12:45:56.000-06:00,Rachel Evans,Germany,Munich,CozyCornerDecor.com,CODE000000000066,N,Insufficient Funds,5,Internet Banking
67,18,18,Nursery Rocking Chair,Kids Furniture,119.99,2021-02-26T06:20:18.000-06:00,Rachel Evans,Germany,Munich,ChicSpaceFurnishings.com,CODE000000000067,Y,SUCCESS,5,UPI
68,11,9,Ergonomic Office Chair,Home Office Furniture,129.99,2021-08-29T17:14:30.000-05:00,Karen Young,Germany,Frankfurt,ChicSpaceFurnishings.com,CODE000000000068,N,Network Error,5,Internet Banking
69,11,1,Classic Wooden Bed,Bedroom Furniture,299.99,2021-06-01T05:40:27.000-05:00,Karen Young,Germany,Frankfurt,StyleNestFurniture.com,CODE000000000069,Y,SUCCESS,5,Internet Banking
70,18,15,Outdoor Patio Set,Outdoor Furniture,299.99,2021-10-28T05:56:22.000-05:00,Rachel Evans,Germany,Munich,StyleNestFurniture.com,CODE000000000070,N,Network Error,5,Internet Banking
71,18,9,Ergonomic Office Chair,Home Office Furniture,129.99,2020-03-06T02:41:01.000-06:00,Rachel Evans,Germany,Munich,CozyCornerDecor.com,CODE000000000071,N,Network Error,5,Internet Banking
72,8,3,L-Shaped Sofa,Living Room Furniture,499.99,2021-08-31T02:50:05.000-05:00,Harry Martinez,Canada,Vancouver,HomeHavenFurniture.com,CODE000000000072,N,Insufficient Funds,6,Card
73,15,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-12-04T13:34:56.000-06:00,Olivia Scott,Canada,Calgary,StyleNestFurniture.com,CODE000000000073,N,Network Error,5,Internet Banking
74,18,11,Vanity Dresser,Bedroom Furniture,189.99,2021-08-12T23:45:55.000-05:00,Rachel Evans,Germany,Munich,ChicSpaceFurnishings.com,CODE000000000074,N,Network Error,5,Internet Banking
75,14,2,Memory Foam Mattress,Bedroom Furniture,199.99,2020-02-25T01:27:42.000-06:00,Nathan King,Canada,Calgary,HomeHavenFurniture.com,CODE000000000075,N,Insufficient Funds,5,Card
