order_id,customer_id,product_id,product_name,product_category,price,datetime,customer_name,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason,qty
31,17,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-07-02T17:53:37.000-05:00,Quinn Baker,Australia,Perth,HomeHavenFurniture.com,CODE000000000031,Y,SUCCESS,4
44,2,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-08-14T16:53:00.000-05:00,Bob Smith,USA,Los Angeles,HomeHavenFurniture.com,CODE000000000044,N,Insufficient Funds,12
51,7,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-05-21T11:45:54.000-05:00,Grace Thompson,Germany,Frankfurt,HomeHavenFurniture.com,CODE000000000051,Y,SUCCESS,4
64,4,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-12-19T19:22:05.000-06:00,Daniel Brown,Australia,Melbourne,HomeHavenFurniture.com,CODE000000000064,Y,SUCCESS,4
71,12,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-02-14T13:40:52.000-06:00,Liam Walker,Australia,Adelaide,ChicSpaceFurnishings.com,CODE000000000071,Y,SUCCESS,4
82,11,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-08-04T03:16:08.000-05:00,Karen Young,Germany,Frankfurt,HomeHavenFurniture.com,CODE000000000082,Y,SUCCESS,4
93,9,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-04-08T02:08:49.000-05:00,Ivy Clark,Australia,Melbourne,CozyCornerDecor.com,CODE000000000093,Y,SUCCESS,4
105,14,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-03-12T01:44:30.000-05:00,Nathan King,Canada,Calgary,ChicSpaceFurnishings.com,CODE000000000105,N,Network Error,4
119,9,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-11-26T21:20:02.000-06:00,Ivy Clark,Australia,Melbourne,CozyCornerDecor.com,CODE000000000119,N,Network Error,4
133,19,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-07-28T12:44:03.000-05:00,Sam Phillips,Canada,Montreal,TimelessHomeStyles.com,CODE000000000133,N,Insufficient Funds,4
148,11,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-04-29T21:39:49.000-05:00,Karen Young,Germany,Frankfurt,ChicSpaceFurnishings.com,CODE000000000148,Y,SUCCESS,4
163,15,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-09-23T14:42:20.000-05:00,Olivia Scott,Canada,Calgary,ChicSpaceFurnishings.com,CODE000000000163,Y,SUCCESS,4
179,15,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-03-01T22:36:40.000-06:00,Olivia Scott,Canada,Calgary,ChicSpaceFurnishings.com,CODE000000000179,N,Insufficient Funds,4
204,18,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-08-14T12:43:29.000-05:00,Rachel Evans,Germany,Munich,StyleNestFurniture.com,CODE000000000204,N,Insufficient Funds,4
207,15,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-08-12T14:33:54.000-05:00,Olivia Scott,Canada,Calgary,HomeHavenFurniture.com,CODE000000000207,Y,SUCCESS,4
223,20,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-12-09T04:14:04.000-06:00,Tina Rodriguez,USA,Chicago,HomeHavenFurniture.com,CODE000000000223,Y,SUCCESS,12
251,9,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-01-16T11:46:31.000-06:00,Ivy Clark,Australia,Melbourne,StyleNestFurniture.com,CODE000000000251,Y,SUCCESS,4
283,10,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-08-16T12:02:36.000-05:00,Jack Lewis,Australia,Perth,HomeHavenFurniture.com,CODE000000000283,N,Network Error,4
288,8,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-04-28T13:47:20.000-05:00,Harry Martinez,Canada,Vancouver,HomeHavenFurniture.com,CODE000000000288,N,Network Error,12
