order_id,customer_id,product_id,product_name,product_category,price,random_timestamp,customer_name,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
32,12,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-03-03T22:29:49.000-06:00,Liam Walker,Australia,Adelaide,StyleNestFurniture.com,CODE000000000032,N,Insufficient Funds
33,18,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-06-05T05:00:53.000-05:00,Rachel Evans,Germany,Munich,CozyCornerDecor.com,CODE000000000033,N,Insufficient Funds
45,5,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-01-15T15:32:49.000-06:00,Eva Garcia,Germany,Cologne,StyleNestFurniture.com,CODE000000000045,Y,SUCCESS
62,5,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-04-01T18:38:33.000-05:00,Eva Garcia,Germany,Cologne,StyleNestFurniture.com,CODE000000000062,Y,SUCCESS
71,11,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-06-12T22:56:51.000-05:00,Karen Young,Germany,Frankfurt,StyleNestFurniture.com,CODE000000000071,Y,SUCCESS
101,19,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-09-16T21:29:29.000-05:00,Sam Phillips,Canada,Montreal,CozyCornerDecor.com,CODE000000000101,Y,SUCCESS
131,3,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-07-09T23:24:19.000-05:00,Catherine Lee,Canada,Toronto,ChicSpaceFurnishings.com,CODE000000000131,Y,SUCCESS
136,4,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-11-02T09:43:03.000-06:00,Daniel Brown,Australia,Melbourne,CozyCornerDecor.com,CODE000000000136,N,Network Error
266,9,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-07-07T23:31:06.000-05:00,Ivy Clark,Australia,Melbourne,ChicSpaceFurnishings.com,CODE000000000266,Y,SUCCESS
310,13,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-11-17T06:25:43.000-06:00,Mona Hall,Germany,Berlin,CozyCornerDecor.com,CODE000000000310,N,Network Error
317,3,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-02-27T10:45:05.000-06:00,Catherine Lee,Canada,Toronto,HomeHavenFurniture.com,CODE000000000317,N,Insufficient Funds
328,13,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-07-29T10:29:25.000-05:00,Mona Hall,Germany,Berlin,ChicSpaceFurnishings.com,CODE000000000328,Y,SUCCESS
337,17,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-05-03T18:54:12.000-05:00,Quinn Baker,Australia,Perth,ChicSpaceFurnishings.com,CODE000000000337,Y,SUCCESS
