order_id,customer_id,product_id,product_name,product_category,price,datetime,customer_name,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason,qty
34,1,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-08-16T06:20:23.000-05:00,Alice Johnson,USA,Phoenix,StyleNestFurniture.com,CODE000000000034,Y,SUCCESS,3
50,19,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-10-04T10:00:54.000-05:00,Sam Phillips,Canada,Montreal,CozyCornerDecor.com,CODE000000000050,Y,SUCCESS,3
73,13,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-05-26T05:09:39.000-05:00,Mona Hall,Germany,Berlin,StyleNestFurniture.com,CODE000000000073,Y,SUCCESS,21
79,17,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-12-27T13:17:46.000-06:00,Quinn Baker,Australia,Perth,StyleNestFurniture.com,CODE000000000079,Y,SUCCESS,3
104,11,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-04-07T11:28:20.000-05:00,Karen Young,Germany,Frankfurt,HomeHavenFurniture.com,CODE000000000104,N,Insufficient Funds,3
121,8,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-11-28T05:40:42.000-06:00,Harry Martinez,Canada,Vancouver,StyleNestFurniture.com,CODE000000000121,N,Insufficient Funds,21
190,19,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-08-23T03:37:14.000-05:00,Sam Phillips,Canada,Montreal,CozyCornerDecor.com,CODE000000000190,Y,SUCCESS,3
195,15,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-08-30T21:31:55.000-05:00,Olivia Scott,Canada,Calgary,ChicSpaceFurnishings.com,CODE000000000195,Y,SUCCESS,3
213,7,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-10-16T19:37:52.000-05:00,Grace Thompson,Germany,Frankfurt,ChicSpaceFurnishings.com,CODE000000000213,Y,SUCCESS,3
236,9,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-06-02T03:44:19.000-05:00,Ivy Clark,Australia,Melbourne,StyleNestFurniture.com,CODE000000000236,Y,SUCCESS,3
247,2,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-04-16T22:57:30.000-05:00,Bob Smith,USA,Los Angeles,HomeHavenFurniture.com,CODE000000000247,Y,SUCCESS,21
295,6,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-11-09T20:50:24.000-06:00,Frank Wilson,Canada,Calgary,CozyCornerDecor.com,CODE000000000295,N,Insufficient Funds,3
