order_id,customer_id,product_id,product_name,product_category,price,random_timestamp,customer_name,country,city,unique_code
7,9,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-09-07T04:06:24.000-05:00,Ivy Clark,Australia,Melbourne,CODE007
22,20,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-05-12T04:00:38.000-05:00,Tina Rodriguez,USA,Chicago,CODE022
96,20,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-05-07T17:14:28.000-05:00,Tina Rodriguez,USA,Chicago,CODE096
121,3,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-12-18T23:41:52.000-06:00,Catherine Lee,Canada,Toronto,CODE121
132,13,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-01-04T17:53:28.000-06:00,Mona Hall,Germany,Berlin,CODE132
133,10,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-11-13T06:03:07.000-06:00,Jack Lewis,Australia,Perth,CODE133
134,14,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-08-01T13:07:57.000-05:00,Nathan King,Canada,Calgary,CODE134
174,13,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-01-06T12:55:22.000-06:00,Mona Hall,Germany,Berlin,CODE174
197,10,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-02-07T17:19:15.000-06:00,Jack Lewis,Australia,Perth,CODE197
202,3,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-11-16T13:49:37.000-06:00,Catherine Lee,Canada,Toronto,CODE202
203,5,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-09-11T15:07:20.000-05:00,Eva Garcia,Germany,Cologne,CODE203
226,9,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-05-16T18:19:48.000-05:00,Ivy Clark,Australia,Melbourne,CODE226
236,10,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-12-10T09:26:09.000-06:00,Jack Lewis,Australia,Perth,CODE236
275,4,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-04-04T00:44:32.000-05:00,Daniel Brown,Australia,Melbourne,CODE275
285,6,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-10-26T09:25:36.000-05:00,Frank Wilson,Canada,Calgary,CODE285
