order_id,customer_id,product_id,product_name,product_category,price,datetime,customer_name,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason,qty,payment_type
0,11,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-07-24T11:43:23.000-05:00,Karen Young,Germany,Frankfurt,StyleNestFurniture.com,CODE000000000000,N,Insufficient Funds,1.0,Internet Banking
1,13,4,Recliner Chair,Living Room Furniture,249.99,2020-10-26T03:59:58.000-05:00,Mona Hall,Germany,Berlin,HomeHavenFurniture.com,CODE000000000001,N,Network Error,12.0,Internet Banking
2,12,14,TV Stand,Living Room Furniture,89.99,2021-11-13T10:47:31.000-06:00,Liam Walker,Australia,Adelaide,ChicSpaceFurnishings.com,CODE000000000002,N,Network Error,2.0,Card
3,1,4,Recliner Chair,Living Room Furniture,249.99,2021-10-16T00:34:08.000-05:00,Alice Johnson,USA,Phoenix,ChicSpaceFurnishings.com,CODE000000000003,N,Insufficient Funds,2.0,Internet Banking
4,10,14,TV Stand,Living Room Furniture,89.99,2021-01-26T19:10:06.000-06:00,Jack Lewis,Australia,Perth,CozyCornerDecor.com,CODE000000000004,Y,SUCCESS,3.0,Internet Banking
5,17,14,TV Stand,Living Room Furniture,89.99,2021-01-17T03:20:05.000-06:00,Quinn Baker,Australia,Perth,StyleNestFurniture.com,CODE000000000005,N,Network Error,2.0,Internet Banking
6,17,15,Outdoor Patio Set,Outdoor Furniture,299.99,2020-09-24T17:47:34.000-05:00,Quinn Baker,Australia,Perth,StyleNestFurniture.com,CODE000000000006,Y,SUCCESS,4.0,Card
7,4,5,Oak Dining Table,Dining Room Furniture,399.99,2021-08-04T22:01:58.000-05:00,Daniel Brown,Australia,Melbourne,CozyCornerDecor.com,CODE000000000007,Y,SUCCESS,2.0,Internet Banking
8,1,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-07-19T15:44:53.000-05:00,Alice Johnson,USA,Phoenix,StyleNestFurniture.com,CODE000000000008,Y,SUCCESS,5.0,Internet Banking
9,7,16,Garden Lounge Chair,Outdoor Furniture,79.99,2020-03-04T02:36:07.000-06:00,Grace Thompson,Germany,Frankfurt,HomeHavenFurniture.com,CODE000000000009,N,Insufficient Funds,2.0,Card
