order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,1,Alice Johnson,1,Classic Wooden Bed,Bedroom Furniture,apple pay,4,299.99,2020-06-09T01:43:07.000-04:00,USA,Phoenix,CozyCornerDecor.com,7505,Y,SUCCESS
2,18,Rachel Evans,15,Outdoor Patio Set,Outdoor Furniture,apple pay,2,299.99,2020-06-09T01:43:07.000-04:00,Germany,Munich,StyleNestFurniture.com,2779,Y,SUCCESS
3,5,Eva Garcia,19,Shoe Storage Cabinet,Entryway Furniture,apple pay,2,59.99,2020-06-09T01:43:07.000-04:00,Germany,Cologne,ChicSpaceFurnishings.com,2659,Y,SUCCESS
4,1,Alice Johnson,16,Garden Lounge Chair,Outdoor Furniture,paypal,3,79.99,2020-06-09T01:43:07.000-04:00,USA,Phoenix,StyleNestFurniture.com,3558,N,Insufficient Funds
5,17,Quinn Baker,18,Nursery Rocking Chair,Kids Furniture,card,5,119.99,2020-06-09T01:43:07.000-04:00,Australia,Perth,StyleNestFurniture.com,2643,Y,SUCCESS
6,14,Nathan King,15,Outdoor Patio Set,Outdoor Furniture,paypal,1,299.99,2020-06-09T01:43:07.000-04:00,Canada,Calgary,CozyCornerDecor.com,8805,Y,SUCCESS
7,6,Frank Wilson,16,Garden Lounge Chair,Outdoor Furniture,apple pay,2,79.99,2020-06-09T01:43:07.000-04:00,Canada,Calgary,ChicSpaceFurnishings.com,5287,Y,SUCCESS
8,14,Nathan King,3,L-Shaped Sofa,Living Room Furniture,apple pay,5,499.99,2020-06-09T01:43:07.000-04:00,Canada,Calgary,StyleNestFurniture.com,3176,N,Insufficient Funds
9,16,Peter Adams,17,Kids Bunk Bed,Kids Furniture,apple pay,3,249.99,2020-06-09T01:43:07.000-04:00,Australia,Perth,TimelessHomeStyles.com,5297,Y,SUCCESS
10,12,Liam Walker,8,Modular Bookcase,Home Office Furniture,card,1,199.99,2020-06-09T01:43:07.000-04:00,Australia,Adelaide,TimelessHomeStyles.com,6970,Y,SUCCESS
11,10,Jack Lewis,7,Wooden Coffee Table,Living Room Furniture,apple pay,2,149.99,2020-06-09T01:43:07.000-04:00,Australia,Perth,HomeHavenFurniture.com,9712,N,Network Error
12,11,Karen Young,4,Recliner Chair,Living Room Furniture,paypal,3,249.99,2020-06-09T01:43:07.000-04:00,Germany,Frankfurt,CozyCornerDecor.com,2698,N,Network Error
13,19,Sam Phillips,6,Leather Dining Chair,Dining Room Furniture,paypal,4,89.99,2020-06-09T01:43:07.000-04:00,Canada,Montreal,TimelessHomeStyles.com,2133,Y,SUCCESS
14,15,Olivia Scott,18,Nursery Rocking Chair,Kids Furniture,apple pay,2,119.99,2020-06-09T01:43:07.000-04:00,Canada,Calgary,TimelessHomeStyles.com,3368,N,Insufficient Funds
15,17,Quinn Baker,3,L-Shaped Sofa,Living Room Furniture,apple pay,1,499.99,2020-06-09T01:43:07.000-04:00,Australia,Perth,TimelessHomeStyles.com,9059,Y,SUCCESS
16,9,Ivy Clark,9,Ergonomic Office Chair,Home Office Furniture,paypal,5,129.99,2020-06-09T01:43:07.000-04:00,Australia,Melbourne,StyleNestFurniture.com,9593,Y,SUCCESS
17,16,Peter Adams,13,Glass Console Table,Entryway Furniture,card,1,129.99,2020-06-09T01:43:07.000-04:00,Australia,Perth,CozyCornerDecor.com,1356,N,Insufficient Funds
18,14,Nathan King,11,Vanity Dresser,Bedroom Furniture,card,1,189.99,2020-06-09T01:43:07.000-04:00,Canada,Calgary,CozyCornerDecor.com,5040,N,Network Error
19,8,Harry Martinez,5,Oak Dining Table,Dining Room Furniture,card,10,399.99,2020-06-09T01:43:07.000-04:00,Canada,Vancouver,TimelessHomeStyles.com,9400,N,Network Error
20,8,Harry Martinez,2,Memory Foam Mattress,Bedroom Furniture,paypal,25,199.99,2020-06-09T01:43:07.000-04:00,Canada,Vancouver,TimelessHomeStyles.com,6190,N,Insufficient Funds
21,14,Nathan King,17,Kids Bunk Bed,Kids Furniture,paypal,3,249.99,2020-06-09T01:43:07.000-04:00,Canada,Calgary,CozyCornerDecor.com,1492,N,Insufficient Funds
22,2,Bob Smith,20,Standing Desk,Home Office Furniture,card,15,249.99,2020-06-09T01:43:07.000-04:00,USA,Los Angeles,TimelessHomeStyles.com,5502,Y,SUCCESS
23,14,Nathan King,2,Memory Foam Mattress,Bedroom Furniture,paypal,1,199.99,2020-06-09T01:43:07.000-04:00,Canada,Calgary,HomeHavenFurniture.com,4964,Y,SUCCESS
24,19,Sam Phillips,17,Kids Bunk Bed,Kids Furniture,card,4,249.99,2020-06-09T01:43:07.000-04:00,Canada,Montreal,HomeHavenFurniture.com,1586,Y,SUCCESS
25,14,Nathan King,17,Kids Bunk Bed,Kids Furniture,paypal,3,249.99,2020-06-09T01:43:07.000-04:00,Canada,Calgary,CozyCornerDecor.com,3870,N,Network Error
26,3,Catherine Lee,18,Nursery Rocking Chair,Kids Furniture,apple pay,5,119.99,2020-06-09T01:43:07.000-04:00,Canada,Toronto,StyleNestFurniture.com,6097,Y,SUCCESS
27,3,Catherine Lee,4,Recliner Chair,Living Room Furniture,apple pay,5,249.99,2020-06-09T01:43:07.000-04:00,Canada,Toronto,TimelessHomeStyles.com,7319,Y,SUCCESS
28,20,Tina Rodriguez,20,Standing Desk,Home Office Furniture,paypal,25,249.99,2020-06-09T01:43:07.000-04:00,USA,Chicago,CozyCornerDecor.com,9895,N,Network Error
29,3,Catherine Lee,2,Memory Foam Mattress,Bedroom Furniture,apple pay,3,199.99,2020-06-09T01:43:07.000-04:00,Canada,Toronto,TimelessHomeStyles.com,3969,N,Insufficient Funds
30,13,Mona Hall,17,Kids Bunk Bed,Kids Furniture,card,8,249.99,2020-06-09T01:43:07.000-04:00,Germany,Berlin,StyleNestFurniture.com,1395,Y,SUCCESS
31,5,Eva Garcia,9,Ergonomic Office Chair,Home Office Furniture,paypal,2,129.99,2020-06-09T01:43:07.000-04:00,Germany,Cologne,StyleNestFurniture.com,4819,Y,SUCCESS
32,5,Eva Garcia,6,Leather Dining Chair,Dining Room Furniture,card,2,89.99,2020-06-09T01:43:07.000-04:00,Germany,Cologne,StyleNestFurniture.com,9232,Y,SUCCESS
33,1,Alice Johnson,6,Leather Dining Chair,Dining Room Furniture,paypal,1,89.99,2020-06-09T01:43:07.000-04:00,USA,Phoenix,HomeHavenFurniture.com,9796,Y,SUCCESS
34,16,Peter Adams,1,Classic Wooden Bed,Bedroom Furniture,paypal,4,299.99,2020-06-09T01:43:07.000-04:00,Australia,Perth,CozyCornerDecor.com,3598,N,Insufficient Funds
35,3,Catherine Lee,14,TV Stand,Living Room Furniture,card,4,89.99,2020-06-09T01:43:07.000-04:00,Canada,Toronto,StyleNestFurniture.com,5743,Y,SUCCESS
36,8,Harry Martinez,20,Standing Desk,Home Office Furniture,card,18,249.99,2020-06-09T01:43:07.000-04:00,Canada,Vancouver,StyleNestFurniture.com,6095,N,Insufficient Funds
37,12,Liam Walker,6,Leather Dining Chair,Dining Room Furniture,card,3,89.99,2020-06-09T01:43:07.000-04:00,Australia,Adelaide,StyleNestFurniture.com,1799,Y,SUCCESS
38,7,Grace Thompson,19,Shoe Storage Cabinet,Entryway Furniture,paypal,2,59.99,2020-06-09T01:43:07.000-04:00,Germany,Frankfurt,CozyCornerDecor.com,1602,Y,SUCCESS
39,13,Mona Hall,14,TV Stand,Living Room Furniture,paypal,8,89.99,2020-06-09T01:43:07.000-04:00,Germany,Berlin,HomeHavenFurniture.com,8445,Y,SUCCESS
40,2,Bob Smith,2,Memory Foam Mattress,Bedroom Furniture,apple pay,12,199.99,2020-06-09T01:43:07.000-04:00,USA,Los Angeles,TimelessHomeStyles.com,3502,Y,SUCCESS
41,1,Alice Johnson,10,Metal Bed Frame,Bedroom Furniture,paypal,5,149.99,2020-06-09T01:43:07.000-04:00,USA,Phoenix,HomeHavenFurniture.com,8625,Y,SUCCESS
42,18,Rachel Evans,10,Metal Bed Frame,Bedroom Furniture,apple pay,1,149.99,2020-06-09T01:43:07.000-04:00,Germany,Munich,ChicSpaceFurnishings.com,1703,Y,SUCCESS
43,7,Grace Thompson,16,Garden Lounge Chair,Outdoor Furniture,paypal,2,79.99,2020-06-09T01:43:07.000-04:00,Germany,Frankfurt,CozyCornerDecor.com,2722,N,Network Error
44,20,Tina Rodriguez,14,TV Stand,Living Room Furniture,paypal,35,89.99,2020-06-09T01:43:07.000-04:00,USA,Chicago,CozyCornerDecor.com,3761,Y,SUCCESS
45,10,Jack Lewis,9,Ergonomic Office Chair,Home Office Furniture,card,3,129.99,2020-06-09T01:43:07.000-04:00,Australia,Perth,ChicSpaceFurnishings.com,2799,N,Insufficient Funds
46,9,Ivy Clark,19,Shoe Storage Cabinet,Entryway Furniture,card,2,59.99,2020-06-09T01:43:07.000-04:00,Australia,Melbourne,ChicSpaceFurnishings.com,7201,Y,SUCCESS
47,18,Rachel Evans,16,Garden Lounge Chair,Outdoor Furniture,card,2,79.99,2020-06-09T01:43:07.000-04:00,Germany,Munich,StyleNestFurniture.com,2170,N,Network Error
48,2,Bob Smith,16,Garden Lounge Chair,Outdoor Furniture,card,18,79.99,2020-06-09T01:43:07.000-04:00,USA,Los Angeles,CozyCornerDecor.com,1174,N,Insufficient Funds
49,9,Ivy Clark,13,Glass Console Table,Entryway Furniture,paypal,1,129.99,2020-06-09T01:43:07.000-04:00,Australia,Melbourne,HomeHavenFurniture.com,8962,N,Network Error
50,4,Daniel Brown,7,Wooden Coffee Table,Living Room Furniture,paypal,5,149.99,2020-06-09T01:43:07.000-04:00,Australia,Melbourne,ChicSpaceFurnishings.com,8698,N,Network Error
51,17,Quinn Baker,10,Metal Bed Frame,Bedroom Furniture,card,1,149.99,2020-06-09T01:43:07.000-04:00,Australia,Perth,CozyCornerDecor.com,6361,Y,SUCCESS
52,13,Mona Hall,7,Wooden Coffee Table,Living Room Furniture,card,18,149.99,2020-06-09T01:43:07.000-04:00,Germany,Berlin,HomeHavenFurniture.com,5112,Y,SUCCESS
53,11,Karen Young,10,Metal Bed Frame,Bedroom Furniture,paypal,2,149.99,2020-06-09T01:43:07.000-04:00,Germany,Frankfurt,StyleNestFurniture.com,3122,N,Network Error
54,11,Karen Young,14,TV Stand,Living Room Furniture,apple pay,3,89.99,2020-06-09T01:43:07.000-04:00,Germany,Frankfurt,CozyCornerDecor.com,7262,N,Insufficient Funds
55,19,Sam Phillips,11,Vanity Dresser,Bedroom Furniture,paypal,4,189.99,2020-06-09T01:43:07.000-04:00,Canada,Montreal,CozyCornerDecor.com,3043,Y,SUCCESS
56,1,Alice Johnson,1,Classic Wooden Bed,Bedroom Furniture,card,3,299.99,2020-06-09T01:43:07.000-04:00,USA,Phoenix,CozyCornerDecor.com,5589,Y,SUCCESS
57,16,Peter Adams,2,Memory Foam Mattress,Bedroom Furniture,card,2,199.99,2020-06-09T01:43:07.000-04:00,Australia,Perth,ChicSpaceFurnishings.com,4305,N,Network Error
58,10,Jack Lewis,8,Modular Bookcase,Home Office Furniture,apple pay,1,199.99,2020-06-09T01:43:07.000-04:00,Australia,Perth,StyleNestFurniture.com,1216,N,Insufficient Funds
59,12,Liam Walker,11,Vanity Dresser,Bedroom Furniture,card,4,189.99,2020-06-09T01:43:07.000-04:00,Australia,Adelaide,TimelessHomeStyles.com,9253,N,Network Error
60,8,Harry Martinez,3,L-Shaped Sofa,Living Room Furniture,apple pay,28,499.99,2020-06-09T01:43:07.000-04:00,Canada,Vancouver,HomeHavenFurniture.com,9577,Y,SUCCESS
61,13,Mona Hall,16,Garden Lounge Chair,Outdoor Furniture,apple pay,7,79.99,2020-06-09T01:43:07.000-04:00,Germany,Berlin,StyleNestFurniture.com,1080,Y,SUCCESS
62,9,Ivy Clark,3,L-Shaped Sofa,Living Room Furniture,apple pay,4,499.99,2020-06-09T01:43:07.000-04:00,Australia,Melbourne,HomeHavenFurniture.com,4151,N,Insufficient Funds
63,3,Catherine Lee,11,Vanity Dresser,Bedroom Furniture,card,1,189.99,2020-06-09T01:43:07.000-04:00,Canada,Toronto,HomeHavenFurniture.com,3942,N,Network Error
64,10,Jack Lewis,5,Oak Dining Table,Dining Room Furniture,card,1,399.99,2020-06-09T01:43:07.000-04:00,Australia,Perth,HomeHavenFurniture.com,6753,Y,SUCCESS
65,18,Rachel Evans,8,Modular Bookcase,Home Office Furniture,paypal,3,199.99,2020-06-09T01:43:07.000-04:00,Germany,Munich,CozyCornerDecor.com,4556,Y,SUCCESS
66,1,Alice Johnson,9,Ergonomic Office Chair,Home Office Furniture,card,4,129.99,2020-06-09T01:43:07.000-04:00,USA,Phoenix,CozyCornerDecor.com,7368,N,Network Error
67,3,Catherine Lee,7,Wooden Coffee Table,Living Room Furniture,paypal,2,149.99,2020-06-09T01:43:07.000-04:00,Canada,Toronto,CozyCornerDecor.com,1534,Y,SUCCESS
68,2,Bob Smith,16,Garden Lounge Chair,Outdoor Furniture,apple pay,6,79.99,2020-06-09T01:43:07.000-04:00,USA,Los Angeles,CozyCornerDecor.com,5487,N,Network Error
69,7,Grace Thompson,6,Leather Dining Chair,Dining Room Furniture,card,1,89.99,2020-06-09T01:43:07.000-04:00,Germany,Frankfurt,HomeHavenFurniture.com,7859,N,Insufficient Funds
70,14,Nathan King,7,Wooden Coffee Table,Living Room Furniture,paypal,2,149.99,2020-06-09T01:43:07.000-04:00,Canada,Calgary,ChicSpaceFurnishings.com,4992,N,Insufficient Funds
71,14,Nathan King,12,Upholstered Bench,Entryway Furniture,paypal,1,99.99,2020-06-09T01:43:07.000-04:00,Canada,Calgary,CozyCornerDecor.com,7333,Y,SUCCESS
72,20,Tina Rodriguez,20,Standing Desk,Home Office Furniture,card,28,249.99,2020-06-09T01:43:07.000-04:00,USA,Chicago,ChicSpaceFurnishings.com,6081,N,Insufficient Funds
73,13,Mona Hall,5,Oak Dining Table,Dining Room Furniture,apple pay,6,399.99,2020-06-09T01:43:07.000-04:00,Germany,Berlin,CozyCornerDecor.com,6453,N,Insufficient Funds
74,19,Sam Phillips,3,L-Shaped Sofa,Living Room Furniture,apple pay,2,499.99,2020-06-09T01:43:07.000-04:00,Canada,Montreal,TimelessHomeStyles.com,2218,N,Network Error
75,20,Tina Rodriguez,19,Shoe Storage Cabinet,Entryway Furniture,paypal,5,59.99,2020-06-09T01:43:07.000-04:00,USA,Chicago,TimelessHomeStyles.com,2699,N,Network Error
76,14,Nathan King,2,Memory Foam Mattress,Bedroom Furniture,card,2,199.99,2020-06-09T01:43:07.000-04:00,Canada,Calgary,TimelessHomeStyles.com,6468,N,Insufficient Funds
77,5,Eva Garcia,7,Wooden Coffee Table,Living Room Furniture,card,4,149.99,2020-06-09T01:43:07.000-04:00,Germany,Cologne,TimelessHomeStyles.com,9100,Y,SUCCESS
78,4,Daniel Brown,16,Garden Lounge Chair,Outdoor Furniture,apple pay,5,79.99,2020-06-09T01:43:07.000-04:00,Australia,Melbourne,StyleNestFurniture.com,2852,N,Network Error
79,8,Harry Martinez,18,Nursery Rocking Chair,Kids Furniture,card,21,119.99,2020-06-09T01:43:07.000-04:00,Canada,Vancouver,CozyCornerDecor.com,4550,N,Insufficient Funds
80,8,Harry Martinez,3,L-Shaped Sofa,Living Room Furniture,paypal,12,499.99,2020-06-09T01:43:07.000-04:00,Canada,Vancouver,TimelessHomeStyles.com,1219,N,Insufficient Funds
81,5,Eva Garcia,11,Vanity Dresser,Bedroom Furniture,apple pay,5,189.99,2020-06-09T01:43:07.000-04:00,Germany,Cologne,StyleNestFurniture.com,2998,Y,SUCCESS
82,3,Catherine Lee,17,Kids Bunk Bed,Kids Furniture,card,3,249.99,2020-06-09T01:43:07.000-04:00,Canada,Toronto,StyleNestFurniture.com,3827,Y,SUCCESS
83,18,Rachel Evans,11,Vanity Dresser,Bedroom Furniture,apple pay,4,189.99,2020-06-09T01:43:07.000-04:00,Germany,Munich,HomeHavenFurniture.com,2039,N,Insufficient Funds
84,1,Alice Johnson,7,Wooden Coffee Table,Living Room Furniture,apple pay,5,149.99,2020-06-09T01:43:07.000-04:00,USA,Phoenix,HomeHavenFurniture.com,1166,N,Insufficient Funds
