order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,12,Liam Walker,3,L-Shaped Sofa,Living Room Furniture,Wallet,4,499.99,2020-09-01T18:13:39.000-05:00,Australia,Adelaide,TimelessHomeStyles.com,1612,Y,SUCCESS
2,5,Eva Garcia,11,Vanity Dresser,Bedroom Furniture,Wallet,2,189.99,2020-09-01T18:13:39.000-05:00,Germany,Cologne,StyleNestFurniture.com,9485,N,Insufficient Funds
3,8,Harry Martinez,12,Upholstered Bench,Entryway Furniture,Wallet,25,99.99,2020-09-01T18:13:39.000-05:00,Canada,Vancouver,TimelessHomeStyles.com,3609,Y,SUCCESS
4,4,Daniel Brown,7,Wooden Coffee Table,Living Room Furniture,Wallet,5,149.99,2020-09-01T18:13:39.000-05:00,Australia,Melbourne,ChicSpaceFurnishings.com,2112,Y,SUCCESS
5,11,Karen Young,15,Outdoor Patio Set,Outdoor Furniture,Wallet,2,299.99,2020-09-01T18:13:39.000-05:00,Germany,Frankfurt,ChicSpaceFurnishings.com,7462,Y,SUCCESS
6,5,Eva Garcia,11,Vanity Dresser,Bedroom Furniture,Wallet,5,189.99,2020-09-01T18:13:39.000-05:00,Germany,Cologne,CozyCornerDecor.com,7065,N,Network Error
7,9,Ivy Clark,15,Outdoor Patio Set,Outdoor Furniture,Wallet,3,299.99,2020-09-01T18:13:39.000-05:00,Australia,Melbourne,CozyCornerDecor.com,7043,N,Insufficient Funds
8,14,Nathan King,7,Wooden Coffee Table,Living Room Furniture,Wallet,5,149.99,2020-09-01T18:13:39.000-05:00,Canada,Calgary,HomeHavenFurniture.com,6417,N,Insufficient Funds
9,9,Ivy Clark,17,Kids Bunk Bed,Kids Furniture,Wallet,1,249.99,2020-09-01T18:13:39.000-05:00,Australia,Melbourne,TimelessHomeStyles.com,1191,N,Network Error
10,5,Eva Garcia,12,Upholstered Bench,Entryway Furniture,Wallet,4,99.99,2020-09-01T18:13:39.000-05:00,Germany,Cologne,ChicSpaceFurnishings.com,8653,N,Insufficient Funds
11,9,Ivy Clark,3,L-Shaped Sofa,Living Room Furniture,Wallet,4,499.99,2020-09-01T18:13:39.000-05:00,Australia,Melbourne,HomeHavenFurniture.com,6556,N,Network Error
12,19,Sam Phillips,17,Kids Bunk Bed,Kids Furniture,Wallet,5,249.99,2020-09-01T18:13:39.000-05:00,Canada,Montreal,HomeHavenFurniture.com,1389,N,Insufficient Funds
13,6,Frank Wilson,15,Outdoor Patio Set,Outdoor Furniture,Wallet,4,299.99,2020-09-01T18:13:39.000-05:00,Canada,Calgary,StyleNestFurniture.com,6926,Y,SUCCESS
14,1,Alice Johnson,5,Oak Dining Table,Dining Room Furniture,Wallet,1,399.99,2020-09-01T18:13:39.000-05:00,USA,Phoenix,ChicSpaceFurnishings.com,6999,N,Insufficient Funds
15,2,Bob Smith,15,Outdoor Patio Set,Outdoor Furniture,Wallet,8,299.99,2020-09-01T18:13:39.000-05:00,USA,Los Angeles,ChicSpaceFurnishings.com,3770,N,Insufficient Funds
16,3,Catherine Lee,13,Glass Console Table,Entryway Furniture,Wallet,3,129.99,2020-09-01T18:13:39.000-05:00,Canada,Toronto,CozyCornerDecor.com,7469,N,Insufficient Funds
17,13,Mona Hall,19,Shoe Storage Cabinet,Entryway Furniture,Wallet,35,59.99,2020-09-01T18:13:39.000-05:00,Germany,Berlin,HomeHavenFurniture.com,7578,N,Insufficient Funds
18,2,Bob Smith,20,Standing Desk,Home Office Furniture,Wallet,5,249.99,2020-09-01T18:13:39.000-05:00,USA,Los Angeles,HomeHavenFurniture.com,8609,Y,SUCCESS
19,19,Sam Phillips,3,L-Shaped Sofa,Living Room Furniture,Wallet,2,499.99,2020-09-01T18:13:39.000-05:00,Canada,Montreal,StyleNestFurniture.com,2272,Y,SUCCESS
20,4,Daniel Brown,8,Modular Bookcase,Home Office Furniture,Wallet,5,199.99,2020-09-01T18:13:39.000-05:00,Australia,Melbourne,TimelessHomeStyles.com,2562,N,Network Error
21,15,Olivia Scott,7,Wooden Coffee Table,Living Room Furniture,Wallet,3,149.99,2020-09-01T18:13:39.000-05:00,Canada,Calgary,StyleNestFurniture.com,7565,Y,SUCCESS
22,3,Catherine Lee,15,Outdoor Patio Set,Outdoor Furniture,Wallet,4,299.99,2020-09-01T18:13:39.000-05:00,Canada,Toronto,TimelessHomeStyles.com,1870,Y,SUCCESS
23,1,Alice Johnson,9,Ergonomic Office Chair,Home Office Furniture,Wallet,3,129.99,2020-09-01T18:13:39.000-05:00,USA,Phoenix,HomeHavenFurniture.com,4740,N,Insufficient Funds
24,7,Grace Thompson,6,Leather Dining Chair,Dining Room Furniture,Wallet,1,89.99,2020-09-01T18:13:39.000-05:00,Germany,Frankfurt,TimelessHomeStyles.com,1154,N,Insufficient Funds
25,6,Frank Wilson,11,Vanity Dresser,Bedroom Furniture,Wallet,2,189.99,2020-09-01T18:13:39.000-05:00,Canada,Calgary,StyleNestFurniture.com,9440,Y,SUCCESS
