order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,3,Catherine Lee,9,Ergonomic Office Chair,Home Office Furniture,apple pay,1,129.99,2020-04-24T19:29:12.000-05:00,Canada,Toronto,TimelessHomeStyles.com,7684,Y,SUCCESS
2,10,Jack Lewis,1,Classic Wooden Bed,Bedroom Furniture,card,5,299.99,2020-04-24T19:29:12.000-05:00,Australia,Perth,ChicSpaceFurnishings.com,7549,Y,SUCCESS
3,10,Jack Lewis,9,Ergonomic Office Chair,Home Office Furniture,paypal,3,129.99,2020-04-24T19:29:12.000-05:00,Australia,Perth,StyleNestFurniture.com,7126,Y,SUCCESS
4,20,Tina Rodriguez,8,Modular Bookcase,Home Office Furniture,card,4,199.99,2020-04-24T19:29:12.000-05:00,USA,Chicago,CozyCornerDecor.com,5867,N,Insufficient Funds
5,3,Catherine Lee,12,Upholstered Bench,Entryway Furniture,apple pay,3,99.99,2020-04-24T19:29:12.000-05:00,Canada,Toronto,CozyCornerDecor.com,3696,Y,SUCCESS
6,11,Karen Young,10,Metal Bed Frame,Bedroom Furniture,paypal,3,149.99,2020-04-24T19:29:12.000-05:00,Germany,Frankfurt,ChicSpaceFurnishings.com,6233,Y,SUCCESS
7,6,Frank Wilson,20,Standing Desk,Home Office Furniture,card,5,249.99,2020-04-24T19:29:12.000-05:00,Canada,Calgary,CozyCornerDecor.com,1374,N,Insufficient Funds
8,14,Nathan King,19,Shoe Storage Cabinet,Entryway Furniture,apple pay,1,59.99,2020-04-24T19:29:12.000-05:00,Canada,Calgary,TimelessHomeStyles.com,9547,Y,SUCCESS
9,6,Frank Wilson,9,Ergonomic Office Chair,Home Office Furniture,card,2,129.99,2020-04-24T19:29:12.000-05:00,Canada,Calgary,ChicSpaceFurnishings.com,2536,N,Network Error
10,9,Ivy Clark,17,Kids Bunk Bed,Kids Furniture,card,3,249.99,2020-04-24T19:29:12.000-05:00,Australia,Melbourne,CozyCornerDecor.com,2275,N,Network Error
11,12,Liam Walker,19,Shoe Storage Cabinet,Entryway Furniture,apple pay,2,59.99,2020-04-24T19:29:12.000-05:00,Australia,Adelaide,StyleNestFurniture.com,2482,N,Network Error
12,20,Tina Rodriguez,12,Upholstered Bench,Entryway Furniture,paypal,2,99.99,2020-04-24T19:29:12.000-05:00,USA,Chicago,HomeHavenFurniture.com,7735,Y,SUCCESS
13,10,Jack Lewis,2,Memory Foam Mattress,Bedroom Furniture,card,4,199.99,2020-04-24T19:29:12.000-05:00,Australia,Perth,CozyCornerDecor.com,2013,Y,SUCCESS
14,14,Nathan King,20,Standing Desk,Home Office Furniture,apple pay,1,249.99,2020-04-24T19:29:12.000-05:00,Canada,Calgary,TimelessHomeStyles.com,6196,Y,SUCCESS
15,18,Rachel Evans,3,L-Shaped Sofa,Living Room Furniture,paypal,3,499.99,2020-04-24T19:29:12.000-05:00,Germany,Munich,ChicSpaceFurnishings.com,5384,Y,SUCCESS
16,19,Sam Phillips,8,Modular Bookcase,Home Office Furniture,apple pay,3,199.99,2020-04-24T19:29:12.000-05:00,Canada,Montreal,ChicSpaceFurnishings.com,2390,Y,SUCCESS
17,6,Frank Wilson,17,Kids Bunk Bed,Kids Furniture,apple pay,3,249.99,2020-04-24T19:29:12.000-05:00,Canada,Calgary,TimelessHomeStyles.com,8313,Y,SUCCESS
18,7,Grace Thompson,2,Memory Foam Mattress,Bedroom Furniture,paypal,3,199.99,2020-04-24T19:29:12.000-05:00,Germany,Frankfurt,StyleNestFurniture.com,8201,Y,SUCCESS
19,19,Sam Phillips,7,Wooden Coffee Table,Living Room Furniture,apple pay,5,149.99,2020-04-24T19:29:12.000-05:00,Canada,Montreal,StyleNestFurniture.com,6834,Y,SUCCESS
20,11,Karen Young,12,Upholstered Bench,Entryway Furniture,paypal,1,99.99,2020-04-24T19:29:12.000-05:00,Germany,Frankfurt,TimelessHomeStyles.com,4687,N,Network Error
21,7,Grace Thompson,16,Garden Lounge Chair,Outdoor Furniture,apple pay,3,79.99,2020-04-24T19:29:12.000-05:00,Germany,Frankfurt,CozyCornerDecor.com,7245,Y,SUCCESS
